r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,formula
0.703801171410645,0.701407645523054,1.43587633771966,294.043684699424,1.94143881800515e-255,8,-1774.41277760189,3568.82555520378,3617.89310299026,2041.12344865098,990,999,total_cup_points ~ species_robusta + processing_method_pulped_natural_honey + color_none + moisture + aroma + acidity + body + balance
0.800859465913121,0.799654986876305,1.17616151648141,664.901124414998,0,6,-1576.10120263372,3168.20240526743,3207.45644349662,1372.28906554905,992,999,total_cup_points ~ species_robusta + processing_method_washed_wet + aroma + acidity + body + uniformity
0.803610803275717,0.802023819867844,1.1691875098655,506.376310734579,0,8,-1569.1519643226,3158.3039286452,3207.37147643168,1353.32943889323,990,999,total_cup_points ~ species_robusta + processing_method_washed_wet + color_none + moisture + aroma + acidity + body + sweetness
0.870657989318925,0.869612801353826,0.948844783607841,833.015704726339,0,8,-1360.5416602895,2741.08332057901,2790.15086836549,891.303359146013,990,999,total_cup_points ~ species_robusta + color_bluish_green + color_green + moisture + aroma + acidity + body + clean_cup
0.70569764553738,0.703917590974098,1.4298286661907,396.447198919706,2.05217897273414e-259,6,-1771.20434344297,3558.40868688594,3597.66272511513,2028.05473454338,992,999,total_cup_points ~ species_robusta + color_green + aroma + acidity + body + cupper_points
0.829425717970515,0.828220854222578,1.08908785844917,688.397936604955,0,7,-1498.75867091049,3015.51734182097,3059.67813482881,1175.43735215062,991,999,total_cup_points ~ species_robusta + processing_method_washed_wet + color_none + aroma + acidity + balance + uniformity
0.843949275967941,0.842847000419783,1.04169129374218,765.642744573607,0,7,-1454.30828323139,2926.61656646279,2970.77735947062,1075.35466469514,991,999,total_cup_points ~ species_robusta + processing_method_washed_wet + color_none + aroma + acidity + balance + sweetness
0.891931340754101,0.891058058659185,0.867311793925127,1021.35535120474,0,8,-1270.78481562586,2561.56963125171,2610.6371790382,744.707450402805,990,999,total_cup_points ~ species_robusta + processing_method_pulped_natural_honey + color_bluish_green + color_green + aroma + acidity + balance + clean_cup
0.739822858194242,0.737985078181487,1.34505706389298,402.563338952162,1.44313322203876e-284,7,-1709.64349503555,3437.2869900711,3481.44778307894,1792.89589858225,991,999,total_cup_points ~ species_robusta + color_green + moisture + aroma + acidity + balance + cupper_points
0.842090704346038,0.840653713789025,1.04893522516793,586.009908162907,0,9,-1460.22220418633,2942.44440837266,2996.4187109378,1088.16219042551,989,999,total_cup_points ~ species_robusta + processing_method_washed_wet + color_bluish_green + color_none + moisture + aroma + acidity + uniformity + sweetness
